#dt,atten,read,read_u16,read_uv, vout
6557,0,60,0,11000, 0
8559,0,1529,24501,314000, 100
10561,0,1976,31655,403000, 128
12562,0,3662,58622,747000, 236
14564,0,3981,63919,812000, 256
16566,0,4095,65535,835000, 300
18567,0,4095,65535,835000, 320
20569,0,4095,65535,835000, 330
22571,0,4095,65535,835000, 400
24573,0,4095,65535,835000, 410
26574,0,4095,65535,835000, 512
28576,0,4095,65535,835000, 756
30578,0,4095,65535,835000, 800
32579,0,4095,65535,835000, 900
34581,0,4095,65535,835000, 1000
36583,0,4095,65535,835000, 1023
38584,0,43,768,11000, 0
40586,0,1528,24533,314000, 100
42588,0,1975,31639,403000, 128
44590,0,3661,58750,749000, 236
46591,0,3979,63871,811000, 256
48593,0,4095,65535,835000, 300
50595,0,4095,65535,835000, 320
52596,0,4095,65535,835000, 330
54598,0,4095,65535,835000, 400
56600,0,4095,65535,835000, 410
58602,0,4095,65535,835000, 512
60603,0,4095,65535,835000, 756
62605,0,4095,65535,835000, 800
64607,0,4095,65535,835000, 900
66608,0,4095,65535,835000, 1000
68610,0,4095,65535,835000, 1023


19209,1,40,640,11000, 0
21211,1,1132,18164,315000, 100
23213,1,1467,23541,403000, 128
25214,1,2731,43722,751000, 236
27216,1,2968,47547,814000, 256
29218,1,3485,55933,955000, 300
31220,1,3723,59598,1018000, 320
33221,1,3840,61599,1052000, 330
35223,1,4095,65535,1117000, 400
37225,1,4095,65535,1117000, 410
39226,1,4095,65535,1117000, 512
41228,1,4095,65535,1117000, 756
43230,1,4095,65535,1117000, 800
45231,1,4095,65535,1117000, 900
47233,1,4095,65535,1117000, 1000
49235,1,4095,65535,1117000, 1023
51237,1,30,624,10000, 0
53238,1,1136,18308,315000, 100
55240,1,1467,23493,404000, 128
57242,1,2733,43722,749000, 236
59243,1,2969,47563,813000, 256
61245,1,3484,55981,956000, 300
63247,1,3726,59566,1020000, 320
65249,1,3848,61647,1052000, 330
67250,1,4095,65535,1117000, 400
69252,1,4095,65535,1117000, 410
71254,1,4095,65535,1117000, 512
73255,1,4095,65535,1117000, 756
75257,1,4095,65535,1117000, 800
77259,1,4095,65535,1117000, 900
79261,1,4095,65535,1117000, 1000
81262,1,4095,65535,1117000, 1023


5394,2,27,464,10000, 0
7396,2,813,13043,315000, 100
9398,2,1052,16868,410000, 128
11399,2,1962,31239,752000, 236
13401,2,2127,34024,817000, 256
15403,2,2505,40089,957000, 300
17405,2,2670,42922,1023000, 320
19406,2,2762,44234,1054000, 330
21408,2,3371,53933,1280000, 400
23410,2,3452,55277,1312000, 410
25411,2,4095,65535,1550000, 512
27413,2,4095,65535,1550000, 756
29415,2,4095,65535,1550000, 800
31416,2,4095,65535,1550000, 900
33418,2,4095,65535,1550000, 1000
35420,2,4095,65535,1550000, 1023
37422,2,27,2256,10000, 0
39423,2,825,13059,319000, 100
41425,2,1054,16868,406000, 128
43427,2,1961,31383,752000, 236
45428,2,2127,34040,817000, 256
47430,2,2504,40105,958000, 300
49432,2,2680,42922,1023000, 320
51434,2,2760,44170,1055000, 330
53435,2,3369,53949,1300000, 400
55437,2,3453,55293,1312000, 410
57439,2,4095,65535,1550000, 512
59440,2,4095,65535,1550000, 756
61442,2,4095,65535,1550000, 800
63444,2,4095,65535,1550000, 900
65446,2,4095,65535,1550000, 1000
67447,2,4095,65535,1550000, 1023


6890,3,5,128,3000, 0
8891,3,424,6785,309000, 100
10893,3,552,8818,401000, 128
12895,3,1032,16388,737000, 236
14896,3,1117,17908,806000, 256
16898,3,1321,21141,950000, 300
18900,3,1415,22661,1017000, 320
20902,3,1455,23413,1045000, 330
22903,3,1783,28550,1276000, 400
24905,3,1822,29303,1309000, 410
26907,3,2297,36776,1639000, 512
28908,3,3423,54909,2417000, 756
30910,3,3646,58494,2561000, 800
32912,3,4095,65535,2838000, 900
34914,3,4095,65535,2838000, 1000
36915,3,4095,65535,2838000, 1023
38917,3,5,0,4000, 0
40919,3,426,6817,309000, 100
42920,3,554,8834,402000, 128
44922,3,1024,16388,738000, 236
46924,3,1127,17876,807000, 256
48926,3,1322,21189,950000, 300
50927,3,1416,22501,1009000, 320
52929,3,1455,23269,1048000, 330
54931,3,1784,28550,1276000, 400
56932,3,1823,29303,1304000, 410
58934,3,2298,36760,1639000, 512
60936,3,3431,54781,2416000, 756
62937,3,3645,58350,2555000, 800
64939,3,4095,65535,2838000, 900
66941,3,4095,65535,2838000, 1000
68943,3,4095,65535,2838000, 1023
